system:index,date,.geo
20220301T082157_20220301T092049,2022-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220301T082657_20220301T092200,2022-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220302T080157_20220302T090740,2022-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220302T080657_20220302T091138,2022-03-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220303T074657_20220303T084917,2022-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220304T072657_20220304T083133,2022-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220304T090657_20220304T100203,2022-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220305T070657_20220305T075531,2022-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220305T071157_20220305T080159,2022-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220305T084657_20220305T093704,2022-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220305T085157_20220305T093835,2022-03-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220306T065157_20220306T074232,2022-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220306T082657_20220306T091833,2022-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220306T083157_20220306T092001,2022-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220307T081157_20220307T085836,2022-03-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220308T075157_20220308T084033,2022-03-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220310T071021_20220310T075837,2022-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220310T071521_20220310T080528,2022-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220310T085521_20220310T094004,2022-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220311T083521_20220311T092503,2022-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220311T084021_20220311T093030,2022-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220312T081521_20220312T090556,2022-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220312T082021_20220312T091057,2022-03-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220313T075521_20220313T084630,2022-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220313T080021_20220313T085226,2022-03-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220314T074021_20220314T082900,2022-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220315T072021_20220315T080928,2022-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220315T090021_20220315T095137,2022-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220316T070521_20220316T075258,2022-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220316T084021_20220316T093031,2022-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220316T084521_20220316T093133,2022-03-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220317T082021_20220317T091156,2022-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220317T082521_20220317T091629,2022-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220318T080521_20220318T085130,2022-03-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220319T074521_20220319T083508,2022-03-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220319T075021_20220319T083633,2022-03-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220320T072521_20220320T081630,2022-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220320T073021_20220320T081807,2022-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220320T090521_20220320T095429,2022-03-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220321T071021_20220321T080002,2022-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220321T085021_20220321T094129,2022-03-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
